"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\computer\Documents\Dev\React\courses2\src\App.css", "CSS", 0, 124, 0, 3, 127
"c:\Users\computer\Documents\Dev\React\courses2\src\App.js", "JavaScript", 83, 0, 181, 15, 279
"c:\Users\computer\Documents\Dev\React\courses2\src\App\AppSlice.js", "JavaScript", 131, 0, 38, 20, 189
"c:\Users\computer\Documents\Dev\React\courses2\src\App\DbSlice.js", "JavaScript", 522, 0, 233, 165, 920
"c:\Users\computer\Documents\Dev\React\courses2\src\App\Store.js", "JavaScript", 9, 0, 0, 1, 10
"c:\Users\computer\Documents\Dev\React\courses2\src\App\functions.js", "JavaScript", 162, 0, 88, 49, 299
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Auth\Auth.css", "CSS", 0, 90, 0, 0, 90
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Auth\AuthMenu.js", "JavaScript", 133, 0, 5, 10, 148
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Cart\Cart.css", "CSS", 0, 114, 1, 2, 117
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Cart\Cart.js", "JavaScript", 153, 0, 5, 20, 178
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Cart\CartCourse.css", "CSS", 0, 68, 0, 2, 70
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Cart\CartCourse.js", "JavaScript", 78, 0, 0, 5, 83
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Checkout\CheckOutPage.css", "CSS", 0, 59, 0, 0, 59
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Checkout\CheckOutPage.js", "JavaScript", 230, 0, 40, 25, 295
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\AdminCourses\AdminCourseTile.js", "JavaScript", 90, 0, 3, 9, 102
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\AdminCourses\AdminCourseTileEdit.js", "JavaScript", 56, 0, 0, 4, 60
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\AdminCourses\AdminCourses.js", "JavaScript", 26, 0, 2, 5, 33
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\AdminCourses\Courses.css", "CSS", 0, 11, 0, 0, 11
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\Course\Course.css", "CSS", 0, 88, 1, 1, 90
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\Course\Course.js", "JavaScript", 26, 0, 0, 4, 30
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\Course\Elements\Display\Components\ElementDisplayComponents.css", "CSS", 0, 49, 0, 1, 50
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\Course\Elements\Display\Components\FadeMessage.js", "JavaScript", 36, 0, 5, 10, 51
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\Course\Elements\Display\Components\MulltipleChoiceDisplay.js", "JavaScript", 81, 0, 13, 14, 108
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\Course\Elements\Display\Components\SaveIndicator.js", "JavaScript", 33, 0, 5, 9, 47
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\Course\Elements\Display\Components\SectionButtons.js", "JavaScript", 60, 0, 12, 10, 82
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\Course\Elements\Display\Components\TimeDisplay.js", "JavaScript", 121, 0, 62, 40, 223
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\Course\Elements\Display\ElementDisplayBlock.css", "CSS", 0, 194, 2, 3, 199
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\Course\Elements\Display\ElementDisplayBlock.js", "JavaScript", 187, 0, 9, 26, 222
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\Course\Elements\Edit\Components\MultipleChoiceEdit.js", "JavaScript", 151, 0, 6, 20, 177
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\Course\Elements\Edit\Components\SectionEditOptions.js", "JavaScript", 88, 0, 2, 10, 100
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\Course\Elements\Edit\ElementEdit.css", "CSS", 0, 106, 0, 1, 107
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\Course\Elements\Edit\ElementEdit.js", "JavaScript", 35, 0, 1, 3, 39
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\Course\Elements\Edit\ElementEditBlock.js", "JavaScript", 250, 0, 3, 16, 269
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\Course\Elements\Element.css", "CSS", 0, 43, 0, 1, 44
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\Course\Elements\Element.js", "JavaScript", 18, 0, 0, 3, 21
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\Course\Elements\ElementMapper.js", "JavaScript", 70, 0, 1, 8, 79
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\Dashboards\AdminDash.js", "JavaScript", 28, 0, 0, 2, 30
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\Dashboards\Dashboard.js", "JavaScript", 23, 0, 0, 4, 27
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\Dashboards\Dashboards.css", "CSS", 0, 0, 0, 1, 1
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\Dashboards\UserDash.js", "JavaScript", 21, 0, 0, 4, 25
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\DisplayPage.css", "CSS", 0, 91, 5, 0, 96
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Content\DisplayPage.js", "JavaScript", 25, 0, 0, 3, 28
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Navbar\Navbar.css", "CSS", 0, 78, 0, 2, 80
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Navbar\Navbar.js", "JavaScript", 36, 0, 0, 3, 39
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Pages\About.js", "JavaScript", 10, 0, 0, 2, 12
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Pages\LandingPage.css", "CSS", 0, 89, 0, 0, 89
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Pages\LandingPage.js", "JavaScript", 151, 0, 69, 14, 234
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Sidebar\Rows\SidenavChapterRow.js", "JavaScript", 130, 0, 3, 11, 144
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Sidebar\Rows\SidenavElementRow.js", "JavaScript", 111, 0, 5, 8, 124
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Sidebar\Rows\SidenavSectionRow.js", "JavaScript", 156, 0, 7, 19, 182
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Sidebar\SideNav.css", "CSS", 0, 90, 1, 1, 92
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Sidebar\SideNav.js", "JavaScript", 46, 0, 1, 7, 54
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Unused\Checkout.css", "CSS", 0, 27, 0, 0, 27
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Unused\Checkout.js", "JavaScript", 57, 0, 1, 1, 59
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Unused\CoursePage.js", "JavaScript", 63, 0, 5, 18, 86
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Unused\CourseTile.css", "CSS", 0, 92, 1, 1, 94
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Unused\CourseTile.js", "JavaScript", 95, 0, 3, 11, 109
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Webcam\TimedWebcam.css", "CSS", 0, 27, 0, 0, 27
"c:\Users\computer\Documents\Dev\React\courses2\src\Components\Webcam\TimedWebcam.js", "JavaScript", 127, 0, 62, 21, 210
"c:\Users\computer\Documents\Dev\React\courses2\src\Styles\Slider.css", "CSS", 0, 51, 4, 8, 63
"c:\Users\computer\Documents\Dev\React\courses2\src\Styles\Themes.css", "CSS", 0, 64, 0, 0, 64
"c:\Users\computer\Documents\Dev\React\courses2\src\Utils\ConfirmationBox.js", "JavaScript", 25, 0, 0, 2, 27
"c:\Users\computer\Documents\Dev\React\courses2\src\Utils\DragDropIndicatorBar.js", "JavaScript", 13, 0, 0, 3, 16
"c:\Users\computer\Documents\Dev\React\courses2\src\Utils\HamburgerMenu.js", "JavaScript", 37, 0, 6, 10, 53
"c:\Users\computer\Documents\Dev\React\courses2\src\Utils\Utils.css", "CSS", 0, 89, 1, 0, 90
"c:\Users\computer\Documents\Dev\React\courses2\src\index.js", "JavaScript", 11, 0, 0, 2, 13
"Total", "-", 3994, 1644, 892, 673, 7203